ID,required language,position name,work experience,education,salary_lower_bound,salary_upper_bound,company scale,location,series level,company_name,search num
3105,PHP,PHP,1-3year,Bachelor,10,20,150-500人,Guangzhou,startup (no financing),蓝鸥科技,468000
3106,PHP,PHP,1-3year,Bachelor,10,15,150-500人,Guangzhou,startup (no financing),蓝鸥科技,468000
3107,PHP,PHP,1-3year,Bachelor,10,15,150-500人,Guangzhou,startup (no financing),蓝鸥科技,468000
3108,PHP,PHP,3-5year,Bachelor,15,25,2000人以上,Chengdu,listed company,兰亭集势,1680000
3109,PHP,PHP,1-3year,Bachelor,8,15,15-50人,Hangzhou,startup (no financing),来同科技,18300
3110,PHP,PHP,1-3year,junior college,9,13,15-50人,Shanghai,developing (A round),来店,24000000
3111,PHP,PHP,1-3year,Bachelor,12,18,2000人以上,Beijing,mature (D round or over),拉手网,3160000
3112,PHP,PHP,1-3year,Bachelor,8,12,15-50人,Hangzhou,startup (no financing),坤虎科技,609000
3113,PHP,PHP,3-5year,Bachelor,15,25,500-2000人,Shanghai,mature (no financing need),快钱,12000000
3114,PHP,PHP,1-3year,Unlimited,10,15,15-50人,Shanghai,startup (angel round),快宝网络,11500
3115,PHP,PHP,1-3year,Unlimited,8,12,15-50人,Nanjing,startup (no financing need),酷羊网络,485000
3116,PHP,PHP,1-3year,Bachelor,8,15,500-2000人,Guangzhou,mature (no financing need),酷狗音乐,7900000
3117,PHP,PHP,1-3year,junior college,5,6,50-150人,Xi'an,developing (A round),空中医信,3120000
3118,PHP,PHP,1-3year,junior college,6,8,15-50人,Wuhan,startup (no financing need),可待科技,5170000
3119,PHP,PHP,3-5year,Bachelor,10,20,15-50人,Shenzhen,startup (no financing need),科迈通讯,394000
3120,PHP,PHP,3-5year,junior college,6,10,50-150人,Shenzhen,developing (no financing need),科创致远,1310000
3121,PHP,PHP,5-10year,junior college,15,30,50-150人,Beijing,developing (no financing need),康创联盛,40
3122,PHP,PHP,3-5year,junior college,15,30,50-150人,Beijing,developing (no financing need),康创联盛,40
3123,PHP,PHP,3-5year,Unlimited,13,15,2000人以上,Shanghai,listed company,凯捷,3410000
3124,PHP,PHP,1-3year,Bachelor,10,20,少于15人,Shanghai,startup (angel round),开黑大师,1700000
3125,PHP,PHP,1-3year,Bachelor,10,20,少于15人,Shanghai,startup (angel round),开黑大师,1700000
3126,PHP,PHP,1-3year,junior college,8,15,15-50人,Shanghai,developing (A round),卡哥信息科技,38800
3127,PHP,PHP,3-5year,junior college,15,22,150-500人,Shenzhen,developing (no financing need),俊易科技,181000
3128,PHP,PHP,3-5year,Bachelor,15,25,50-150人,Beijing,listed company,决胜网,232000
3129,PHP,PHP,3-5year,Unlimited,8,12,15-50人,Wuhan,startup (no financing),聚享科技,1660000
3130,PHP,PHP,unlimited,junior college,8,15,50-150人,Hangzhou,developing (no financing need),聚势网,877000
3131,PHP,PHP,3-5year,Bachelor,10,16,2000人以上,Chengdu,listed company,聚美优品,11100000
3132,PHP,PHP,1-3year,Bachelor,6,12,15-50人,Changsha,developing (A round),聚居网,4520
3133,PHP,PHP,1-3year,Unlimited,6,12,少于15人,Guangzhou,startup (no financing need),巨头IT,411000
3134,PHP,PHP,1-3year,junior college,12,20,500-2000人,Shanghai,listed company,巨人网络,6040000
3135,PHP,PHP,1-3year,junior college,8,15,15-50人,Shanghai,startup (angel round),桔尚科技,81
3136,PHP,PHP,3-5year,Bachelor,15,30,500-2000人,Shenzhen,listed company,就医160,1840000
3137,PHP,PHP,1-3year,junior college,7,12,150-500人,Hangzhou,developing (no financing need),久尚科技,1150000
3138,PHP,PHP,1-3year,junior college,6,10,150-500人,Hangzhou,developing (no financing need),久尚科技,1150000
3139,PHP,PHP,unlimited,Unlimited,6,12,15-50人,Chengdu,startup (no financing),久久喜悦网络技术有限公司,82000
3140,PHP,PHP,unlimited,Bachelor,4,8,少于15人,Nanjing,startup (no financing need),九则科技,109000
3141,PHP,PHP,3-5year,junior college,6,12,15-50人,Chengdu,developing (A round),九柚时空,8870
3142,PHP,PHP,1-3year,junior college,6,10,50-150人,Hangzhou,mature (D round or over),九赢互联,56100
3143,PHP,PHP,3-5year,junior college,8,12,150-500人,Shenzhen,developing (no financing need),九星企业,1890000
3144,PHP,PHP,1-3year,junior college,5,10,50-150人,Changsha,listed company,九春教育,99400
3145,PHP,PHP,5-10year,Bachelor,15,20,500-2000人,Beijing,mature (no financing need),竞技世界,380000
3146,PHP,PHP,3-5year,Bachelor,15,30,500-2000人,Beijing,mature (no financing need),竞技世界,380000
3147,PHP,PHP,3-5year,Bachelor,15,25,500-2000人,Beijing,mature (no financing need),竞技世界,380000
3148,PHP,PHP,3-5year,Bachelor,12,20,500-2000人,Beijing,mature (no financing need),竞技世界,380000
3149,PHP,PHP,1-3year,Bachelor,10,20,500-2000人,Hangzhou,mature (no financing need),精中集团,35200000
3150,PHP,PHP,1-3year,junior college,5,7,50-150人,Nanjing,developing (no financing need),晶成,7080000
